NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,FREQUENTLY/ALWAYS
0.01,0.013,0.04,0.113,0.279,0.497
0.01,0.013,0.04,0.113,0.28,0.497
0.01,0.013,0.04,0.113,0.28,0.497
0.01,0.013,0.041,0.113,0.28,0.497
0.01,0.013,0.041,0.113,0.281,0.498
0.01,0.013,0.041,0.113,0.281,0.498
0.01,0.014,0.041,0.114,0.282,0.498
0.01,0.014,0.041,0.114,0.282,0.498
0.01,0.014,0.041,0.114,0.283,0.499
0.01,0.014,0.041,0.114,0.283,0.499
0.011,0.014,0.041,0.114,0.283,0.499
0.011,0.014,0.041,0.114,0.283,0.5
0.011,0.014,0.041,0.114,0.284,0.5
0.011,0.014,0.041,0.115,0.284,0.5
0.011,0.014,0.041,0.115,0.284,0.501
0.011,0.014,0.042,0.115,0.285,0.501
0.011,0.014,0.042,0.115,0.286,0.501
0.011,0.014,0.042,0.115,0.286,0.502
0.011,0.014,0.042,0.115,0.286,0.503
0.011,0.014,0.042,0.115,0.286,0.503
0.011,0.014,0.042,0.115,0.286,0.503
0.011,0.014,0.042,0.115,0.287,0.504
0.011,0.014,0.042,0.115,0.287,0.504
0.011,0.014,0.042,0.115,0.287,0.505
0.011,0.014,0.042,0.116,0.287,0.505
0.011,0.014,0.042,0.116,0.288,0.506
0.012,0.014,0.042,0.116,0.288,0.506
0.012,0.014,0.042,0.116,0.288,0.506
0.012,0.014,0.043,0.116,0.289,0.506
0.012,0.014,0.043,0.116,0.289,0.506
0.012,0.015,0.043,0.117,0.29,0.507
0.012,0.015,0.043,0.117,0.29,0.507
0.012,0.015,0.043,0.117,0.29,0.508
0.012,0.015,0.043,0.117,0.29,0.508
0.012,0.015,0.043,0.118,0.29,0.508
0.012,0.015,0.043,0.118,0.29,0.508
0.012,0.015,0.043,0.118,0.291,0.508
0.012,0.015,0.043,0.118,0.291,0.509
0.012,0.015,0.043,0.118,0.291,0.509
0.012,0.015,0.044,0.118,0.291,0.509
0.012,0.015,0.044,0.118,0.291,0.509
0.012,0.015,0.044,0.119,0.292,0.51
0.012,0.015,0.044,0.119,0.292,0.51
0.012,0.015,0.044,0.119,0.292,0.51
0.012,0.015,0.044,0.12,0.292,0.51
0.012,0.015,0.044,0.12,0.292,0.51
0.013,0.015,0.045,0.12,0.292,0.511
0.013,0.016,0.045,0.12,0.293,0.511
0.013,0.016,0.045,0.12,0.293,0.511
0.013,0.016,0.045,0.12,0.293,0.511
0.013,0.016,0.045,0.12,0.293,0.511
0.013,0.016,0.046,0.12,0.293,0.512
0.013,0.016,0.046,0.12,0.293,0.512
0.013,0.016,0.046,0.121,0.294,0.512
0.013,0.016,0.046,0.121,0.294,0.512
0.013,0.016,0.046,0.121,0.295,0.513
0.013,0.016,0.046,0.121,0.295,0.513
0.013,0.016,0.046,0.121,0.296,0.513
0.013,0.016,0.046,0.121,0.296,0.514
0.013,0.016,0.046,0.121,0.296,0.514
0.013,0.016,0.046,0.121,0.297,0.514
0.013,0.016,0.046,0.122,0.298,0.515
0.013,0.016,0.046,0.122,0.298,0.515
0.013,0.016,0.046,0.122,0.298,0.515
0.013,0.016,0.046,0.122,0.299,0.515
0.013,0.016,0.046,0.122,0.299,0.516
0.013,0.016,0.046,0.122,0.299,0.516
0.013,0.017,0.046,0.122,0.3,0.517
0.013,0.017,0.046,0.123,0.3,0.517
0.014,0.017,0.046,0.123,0.3,0.517
0.014,0.017,0.046,0.123,0.301,0.517
0.014,0.017,0.046,0.123,0.302,0.518
0.014,0.017,0.047,0.123,0.302,0.519
0.014,0.017,0.047,0.123,0.302,0.519
0.014,0.017,0.047,0.124,0.302,0.519
0.014,0.017,0.047,0.124,0.303,0.519
0.014,0.017,0.047,0.124,0.303,0.519
0.014,0.017,0.047,0.124,0.303,0.519
0.014,0.017,0.047,0.124,0.303,0.52
0.014,0.017,0.047,0.125,0.303,0.52
0.014,0.017,0.047,0.125,0.304,0.52
0.014,0.017,0.048,0.125,0.304,0.521
0.014,0.017,0.048,0.125,0.304,0.521
0.014,0.018,0.048,0.125,0.304,0.521
0.014,0.018,0.048,0.125,0.304,0.521
0.014,0.018,0.048,0.125,0.304,0.522
0.014,0.018,0.048,0.125,0.305,0.522
0.014,0.018,0.048,0.125,0.305,0.522
0.014,0.018,0.048,0.125,0.305,0.522
0.015,0.018,0.048,0.126,0.306,0.522
0.015,0.018,0.048,0.126,0.306,0.523
0.015,0.018,0.048,0.126,0.306,0.523
0.015,0.018,0.049,0.126,0.308,0.523
0.015,0.018,0.049,0.126,0.308,0.523
0.015,0.018,0.049,0.126,0.309,0.524
0.015,0.018,0.049,0.126,0.309,0.524
0.015,0.018,0.049,0.126,0.309,0.525
0.015,0.018,0.049,0.126,0.309,0.525
0.015,0.018,0.049,0.126,0.309,0.525
0.015,0.018,0.049,0.127,0.309,0.525
0.015,0.018,0.049,0.127,0.309,0.525
0.015,0.018,0.049,0.127,0.309,0.526
0.015,0.018,0.049,0.127,0.31,0.527
0.015,0.018,0.049,0.127,0.31,0.527
0.015,0.018,0.049,0.127,0.311,0.527
0.015,0.018,0.049,0.127,0.311,0.527
0.015,0.019,0.049,0.127,0.311,0.527
0.015,0.019,0.049,0.127,0.311,0.527
0.015,0.019,0.049,0.127,0.312,0.527
0.015,0.019,0.049,0.127,0.312,0.528
0.015,0.019,0.05,0.127,0.312,0.528
0.015,0.019,0.05,0.128,0.312,0.529
0.015,0.019,0.05,0.128,0.313,0.529
0.015,0.019,0.05,0.128,0.313,0.529
0.016,0.019,0.05,0.128,0.313,0.53
0.016,0.019,0.05,0.128,0.313,0.53
0.016,0.019,0.05,0.128,0.313,0.53
0.016,0.019,0.05,0.128,0.313,0.53
0.016,0.019,0.05,0.128,0.313,0.531
0.016,0.019,0.05,0.128,0.313,0.532
0.016,0.019,0.05,0.128,0.313,0.532
0.016,0.019,0.05,0.128,0.313,0.532
0.016,0.019,0.051,0.129,0.314,0.532
0.016,0.019,0.051,0.129,0.314,0.533
0.016,0.019,0.051,0.129,0.314,0.533
0.016,0.019,0.051,0.129,0.314,0.533
0.016,0.019,0.051,0.129,0.315,0.534
0.016,0.019,0.051,0.129,0.315,0.534
0.016,0.019,0.051,0.129,0.315,0.535
0.016,0.019,0.051,0.129,0.316,0.535
0.016,0.019,0.051,0.129,0.316,0.535
0.016,0.019,0.051,0.129,0.316,0.535
0.016,0.019,0.052,0.129,0.316,0.536
0.016,0.02,0.052,0.13,0.316,0.536
0.016,0.02,0.052,0.13,0.316,0.536
0.016,0.02,0.052,0.13,0.316,0.537
0.016,0.02,0.052,0.13,0.317,0.537
0.016,0.02,0.052,0.13,0.317,0.537
0.016,0.02,0.052,0.13,0.317,0.537
0.016,0.02,0.052,0.13,0.317,0.538
0.016,0.02,0.052,0.13,0.317,0.538
0.017,0.02,0.052,0.13,0.318,0.538
0.017,0.02,0.052,0.13,0.318,0.538
0.017,0.02,0.052,0.131,0.318,0.539
0.017,0.02,0.053,0.131,0.318,0.539
0.017,0.02,0.053,0.131,0.318,0.54
0.017,0.02,0.053,0.131,0.318,0.54
0.017,0.02,0.053,0.131,0.318,0.54
0.017,0.02,0.053,0.132,0.318,0.54
0.017,0.02,0.053,0.132,0.319,0.54
0.017,0.02,0.053,0.132,0.319,0.541
0.017,0.02,0.053,0.132,0.319,0.541
0.017,0.02,0.053,0.132,0.319,0.541
0.017,0.02,0.053,0.133,0.32,0.541
0.017,0.02,0.053,0.133,0.32,0.542
0.017,0.02,0.053,0.133,0.32,0.542
0.017,0.02,0.053,0.133,0.32,0.542
0.017,0.021,0.053,0.133,0.32,0.542
0.017,0.021,0.053,0.133,0.32,0.542
0.017,0.021,0.053,0.133,0.321,0.543
0.017,0.021,0.053,0.133,0.321,0.543
0.017,0.021,0.054,0.133,0.321,0.543
0.017,0.021,0.054,0.133,0.321,0.543
0.017,0.021,0.054,0.134,0.322,0.543
0.017,0.021,0.054,0.134,0.322,0.543
0.017,0.021,0.054,0.134,0.322,0.543
0.017,0.021,0.054,0.134,0.322,0.543
0.017,0.021,0.054,0.134,0.323,0.544
0.017,0.021,0.054,0.134,0.323,0.544
0.017,0.021,0.054,0.134,0.323,0.545
0.017,0.021,0.054,0.134,0.323,0.545
0.017,0.021,0.054,0.135,0.323,0.545
0.017,0.022,0.054,0.135,0.324,0.545
0.017,0.022,0.054,0.135,0.324,0.545
0.018,0.022,0.054,0.135,0.325,0.545
0.018,0.022,0.054,0.135,0.325,0.545
0.018,0.022,0.054,0.135,0.326,0.546
0.018,0.022,0.054,0.135,0.326,0.546
0.018,0.022,0.054,0.135,0.326,0.546
0.018,0.022,0.054,0.135,0.326,0.546
0.018,0.022,0.054,0.135,0.326,0.547
0.018,0.022,0.054,0.136,0.326,0.547
0.018,0.022,0.054,0.136,0.326,0.547
0.018,0.022,0.054,0.136,0.326,0.547
0.018,0.022,0.055,0.136,0.327,0.547
0.018,0.022,0.055,0.136,0.327,0.548
0.018,0.022,0.055,0.136,0.327,0.548
0.018,0.022,0.055,0.136,0.327,0.548
0.018,0.022,0.055,0.136,0.328,0.549
0.018,0.022,0.055,0.136,0.328,0.549
0.018,0.022,0.055,0.136,0.328,0.549
0.018,0.022,0.055,0.136,0.328,0.549
0.018,0.022,0.055,0.136,0.328,0.549
0.018,0.022,0.055,0.136,0.328,0.55
0.018,0.022,0.055,0.136,0.328,0.55
0.018,0.022,0.055,0.136,0.329,0.55
0.018,0.022,0.055,0.137,0.329,0.55
0.018,0.022,0.055,0.137,0.329,0.55
0.018,0.022,0.055,0.137,0.33,0.55
0.018,0.022,0.055,0.137,0.33,0.55
0.018,0.022,0.055,0.137,0.33,0.551
0.018,0.023,0.055,0.137,0.33,0.551
0.019,0.023,0.055,0.137,0.33,0.551
0.019,0.023,0.055,0.137,0.331,0.552
0.019,0.023,0.056,0.137,0.331,0.552
0.019,0.023,0.056,0.137,0.331,0.552
0.019,0.023,0.056,0.137,0.331,0.553
0.019,0.023,0.056,0.137,0.332,0.553
0.019,0.023,0.056,0.137,0.332,0.553
0.019,0.023,0.056,0.137,0.332,0.553
0.019,0.023,0.056,0.137,0.332,0.554
0.019,0.023,0.056,0.138,0.333,0.554
0.019,0.023,0.056,0.138,0.333,0.554
0.019,0.023,0.056,0.138,0.333,0.554
0.019,0.023,0.056,0.138,0.333,0.555
0.019,0.023,0.056,0.138,0.334,0.555
0.019,0.023,0.056,0.138,0.335,0.555
0.019,0.023,0.057,0.138,0.335,0.555
0.019,0.023,0.057,0.138,0.335,0.555
0.019,0.023,0.057,0.138,0.335,0.556
0.019,0.023,0.057,0.138,0.335,0.556
0.019,0.023,0.057,0.138,0.335,0.557
0.019,0.024,0.057,0.138,0.335,0.558
0.019,0.024,0.057,0.138,0.336,0.558
0.019,0.024,0.057,0.138,0.336,0.558
0.019,0.024,0.057,0.138,0.336,0.559
0.019,0.024,0.057,0.139,0.337,0.559
0.019,0.024,0.057,0.139,0.337,0.559
0.019,0.024,0.057,0.139,0.337,0.559
0.019,0.024,0.057,0.139,0.337,0.559
0.019,0.024,0.057,0.139,0.337,0.559
0.019,0.024,0.058,0.139,0.337,0.56
0.019,0.024,0.058,0.139,0.337,0.56
0.02,0.024,0.058,0.139,0.338,0.56
0.02,0.024,0.058,0.14,0.338,0.56
0.02,0.024,0.058,0.14,0.338,0.561
0.02,0.024,0.058,0.14,0.338,0.561
0.02,0.024,0.058,0.14,0.339,0.561
0.02,0.024,0.058,0.14,0.339,0.561
0.02,0.024,0.058,0.14,0.339,0.561
0.02,0.024,0.058,0.14,0.339,0.561
0.02,0.024,0.058,0.14,0.339,0.561
0.02,0.024,0.058,0.14,0.34,0.562
0.02,0.024,0.058,0.14,0.34,0.562
0.02,0.024,0.059,0.141,0.34,0.562
0.02,0.024,0.059,0.141,0.34,0.562
0.02,0.025,0.059,0.141,0.34,0.563
0.02,0.025,0.059,0.141,0.34,0.563
0.02,0.025,0.059,0.141,0.34,0.563
0.02,0.025,0.059,0.141,0.34,0.563
0.02,0.025,0.059,0.141,0.34,0.564
0.02,0.025,0.059,0.141,0.34,0.564
0.02,0.025,0.059,0.141,0.34,0.564
0.02,0.025,0.059,0.141,0.34,0.564
0.02,0.025,0.059,0.141,0.34,0.564
0.02,0.025,0.059,0.142,0.34,0.564
0.02,0.025,0.059,0.142,0.341,0.564
0.02,0.025,0.059,0.142,0.341,0.564
0.02,0.025,0.059,0.142,0.341,0.564
0.02,0.025,0.06,0.142,0.341,0.565
0.02,0.025,0.06,0.142,0.341,0.565
0.02,0.025,0.06,0.142,0.341,0.565
0.021,0.025,0.06,0.142,0.341,0.566
0.021,0.025,0.06,0.142,0.342,0.566
0.021,0.025,0.06,0.142,0.342,0.566
0.021,0.025,0.06,0.142,0.342,0.566
0.021,0.025,0.06,0.142,0.342,0.567
0.021,0.025,0.06,0.142,0.342,0.567
0.021,0.026,0.06,0.142,0.342,0.567
0.021,0.026,0.06,0.142,0.343,0.567
0.021,0.026,0.06,0.142,0.343,0.567
0.021,0.026,0.06,0.142,0.343,0.567
0.021,0.026,0.06,0.142,0.343,0.567
0.021,0.026,0.06,0.142,0.343,0.568
0.021,0.026,0.06,0.143,0.343,0.568
0.021,0.026,0.06,0.143,0.343,0.568
0.021,0.026,0.06,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.344,0.569
0.021,0.026,0.061,0.143,0.345,0.569
0.021,0.026,0.061,0.143,0.345,0.57
0.022,0.026,0.061,0.143,0.345,0.57
0.022,0.026,0.061,0.143,0.345,0.57
0.022,0.027,0.061,0.143,0.345,0.57
0.022,0.027,0.061,0.143,0.345,0.57
0.022,0.027,0.061,0.144,0.345,0.57
0.022,0.027,0.061,0.144,0.345,0.57
0.022,0.027,0.061,0.144,0.345,0.571
0.022,0.027,0.061,0.144,0.346,0.571
0.022,0.027,0.061,0.144,0.346,0.571
0.022,0.027,0.061,0.144,0.346,0.571
0.022,0.027,0.061,0.144,0.346,0.571
0.022,0.027,0.061,0.145,0.346,0.571
0.022,0.027,0.061,0.145,0.346,0.571
0.022,0.027,0.062,0.145,0.346,0.571
0.022,0.027,0.062,0.145,0.346,0.572
0.022,0.027,0.062,0.145,0.346,0.572
0.022,0.027,0.062,0.145,0.347,0.572
0.022,0.027,0.062,0.145,0.347,0.573
0.022,0.027,0.062,0.145,0.347,0.573
0.023,0.027,0.062,0.145,0.348,0.573
0.023,0.027,0.062,0.145,0.348,0.573
0.023,0.027,0.062,0.145,0.348,0.573
0.023,0.027,0.062,0.145,0.348,0.574
0.023,0.027,0.062,0.145,0.349,0.574
0.023,0.027,0.062,0.145,0.349,0.574
0.023,0.027,0.062,0.145,0.349,0.574
0.023,0.027,0.062,0.145,0.349,0.574
0.023,0.027,0.062,0.145,0.349,0.574
0.023,0.027,0.062,0.146,0.35,0.574
0.023,0.028,0.062,0.146,0.35,0.574
0.023,0.028,0.062,0.146,0.35,0.575
0.023,0.028,0.062,0.146,0.35,0.575
0.023,0.028,0.062,0.146,0.35,0.575
0.023,0.028,0.062,0.146,0.351,0.575
0.023,0.028,0.062,0.146,0.351,0.575
0.023,0.028,0.062,0.146,0.351,0.575
0.023,0.028,0.062,0.146,0.351,0.576
0.023,0.028,0.062,0.146,0.351,0.576
0.023,0.028,0.063,0.146,0.352,0.576
0.023,0.028,0.063,0.146,0.352,0.576
0.023,0.028,0.063,0.146,0.352,0.577
0.023,0.028,0.063,0.146,0.352,0.578
0.023,0.028,0.063,0.146,0.352,0.578
0.023,0.028,0.063,0.147,0.352,0.578
0.023,0.029,0.063,0.147,0.352,0.578
0.023,0.029,0.063,0.147,0.352,0.578
0.023,0.029,0.063,0.147,0.352,0.579
0.023,0.029,0.063,0.147,0.353,0.579
0.024,0.029,0.063,0.147,0.353,0.58
0.024,0.029,0.063,0.147,0.353,0.58
0.024,0.029,0.063,0.147,0.353,0.581
0.024,0.029,0.063,0.147,0.353,0.581
0.024,0.029,0.064,0.147,0.353,0.581
0.024,0.029,0.064,0.147,0.353,0.581
0.024,0.029,0.064,0.147,0.354,0.581
0.024,0.029,0.064,0.147,0.354,0.581
0.024,0.029,0.064,0.147,0.354,0.581
0.024,0.029,0.064,0.147,0.354,0.582
0.024,0.029,0.064,0.148,0.354,0.582
0.024,0.029,0.064,0.148,0.354,0.582
0.024,0.03,0.064,0.148,0.354,0.582
0.024,0.03,0.064,0.148,0.354,0.582
0.024,0.03,0.064,0.148,0.354,0.583
0.024,0.03,0.064,0.148,0.355,0.583
0.024,0.03,0.064,0.148,0.355,0.583
0.024,0.03,0.064,0.148,0.355,0.583
0.025,0.03,0.064,0.148,0.356,0.583
0.025,0.03,0.064,0.148,0.356,0.584
0.025,0.03,0.065,0.148,0.356,0.584
0.025,0.03,0.065,0.148,0.356,0.584
0.025,0.03,0.065,0.149,0.356,0.584
0.025,0.03,0.065,0.149,0.356,0.584
0.025,0.03,0.065,0.149,0.356,0.585
0.025,0.03,0.065,0.149,0.356,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.149,0.357,0.585
0.025,0.03,0.065,0.15,0.358,0.586
0.025,0.03,0.065,0.15,0.358,0.586
0.025,0.03,0.065,0.15,0.358,0.586
0.025,0.03,0.065,0.15,0.359,0.586
0.025,0.03,0.065,0.15,0.359,0.587
0.025,0.031,0.066,0.15,0.36,0.587
0.025,0.031,0.066,0.15,0.36,0.587
0.025,0.031,0.066,0.15,0.36,0.587
0.025,0.031,0.066,0.15,0.36,0.587
0.025,0.031,0.066,0.15,0.36,0.587
0.025,0.031,0.066,0.15,0.361,0.587
0.025,0.031,0.066,0.15,0.361,0.588
0.025,0.031,0.066,0.15,0.361,0.588
0.025,0.031,0.066,0.15,0.361,0.588
0.025,0.031,0.066,0.151,0.361,0.588
0.025,0.031,0.066,0.151,0.361,0.588
0.025,0.031,0.066,0.151,0.362,0.589
0.025,0.031,0.066,0.151,0.362,0.589
0.025,0.031,0.066,0.151,0.362,0.589
0.025,0.031,0.066,0.151,0.362,0.589
0.025,0.031,0.066,0.151,0.362,0.59
0.025,0.031,0.066,0.151,0.362,0.59
0.025,0.031,0.066,0.151,0.363,0.59
0.025,0.031,0.066,0.151,0.363,0.59
0.026,0.031,0.066,0.151,0.363,0.59
0.026,0.031,0.066,0.151,0.364,0.59
0.026,0.031,0.067,0.151,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.591
0.026,0.031,0.067,0.152,0.364,0.592
0.026,0.031,0.067,0.152,0.365,0.592
0.026,0.032,0.067,0.152,0.365,0.592
